Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CURA_TestSuite_Login_01,Chrome 121.0.0.0,,,01-02-2024 13:16:56,01-02-2024 13:17:28,32.248s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_Login_01,Chrome 121.0.0.0,,,01-02-2024 13:16:56,01-02-2024 13:17:08,12.433s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:16:56,01-02-2024 13:17:00,3.538s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:17:00,01-02-2024 13:17:03,2.845s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:17:03,01-02-2024 13:17:04,1.006s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78""))",Chrome 121.0.0.0,,,01-02-2024 13:17:04,01-02-2024 13:17:04,0.465s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_username""))",Chrome 121.0.0.0,,,01-02-2024 13:17:04,01-02-2024 13:17:05,0.504s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78_1""))",Chrome 121.0.0.0,,,01-02-2024 13:17:05,01-02-2024 13:17:05,0.467s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:17:05,01-02-2024 13:17:06,0.967s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:17:06,01-02-2024 13:17:07,0.580s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:17:07,01-02-2024 13:17:08,0.992s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:17:08,01-02-2024 13:17:08,0.713s,PASSED
,,,,,,,
