Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CURA_TestSuite_Login_01,Chrome 121.0.0.0,,,01-02-2024 13:23:51,01-02-2024 13:24:22,30.773s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_Login_01,Chrome 121.0.0.0,,,01-02-2024 13:23:51,01-02-2024 13:24:03,11.801s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:23:52,01-02-2024 13:23:54,2.533s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:23:54,01-02-2024 13:23:57,2.680s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:23:57,01-02-2024 13:23:58,0.951s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78""))",Chrome 121.0.0.0,,,01-02-2024 13:23:58,01-02-2024 13:23:58,0.441s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_username""))",Chrome 121.0.0.0,,,01-02-2024 13:23:58,01-02-2024 13:23:59,0.455s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78_1""))",Chrome 121.0.0.0,,,01-02-2024 13:23:59,01-02-2024 13:23:59,0.480s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:23:59,01-02-2024 13:24:00,0.833s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:24:00,01-02-2024 13:24:01,0.673s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:24:01,01-02-2024 13:24:02,1.480s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:24:02,01-02-2024 13:24:03,0.605s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_Login_02,Chrome 121.0.0.0,,,01-02-2024 13:24:03,01-02-2024 13:24:12,9.164s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:24:03,01-02-2024 13:24:04,1.057s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:24:04,01-02-2024 13:24:07,2.638s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_02_OR/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 121.0.0.0,,,01-02-2024 13:24:07,01-02-2024 13:24:07,0.550s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_02_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:24:07,01-02-2024 13:24:08,0.863s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_02_OR/Page_CURA Healthcare Service/input_username""))",Chrome 121.0.0.0,,,01-02-2024 13:24:08,01-02-2024 13:24:09,0.527s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_02_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78""))",Chrome 121.0.0.0,,,01-02-2024 13:24:09,01-02-2024 13:24:09,0.398s,PASSED
