Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CURA_TestSuite_Login_01,Chrome 121.0.0.0,,,01-02-2024 13:05:10,01-02-2024 13:05:41,31.723s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_Login_01,Chrome 121.0.0.0,,,01-02-2024 13:05:10,01-02-2024 13:05:23,12.763s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:05:11,01-02-2024 13:05:14,3.492s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:05:14,01-02-2024 13:05:17,2.478s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:05:17,01-02-2024 13:05:18,0.952s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78""))",Chrome 121.0.0.0,,,01-02-2024 13:05:18,01-02-2024 13:05:18,0.563s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_username""))",Chrome 121.0.0.0,,,01-02-2024 13:05:18,01-02-2024 13:05:18,0.387s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78_1""))",Chrome 121.0.0.0,,,01-02-2024 13:05:18,01-02-2024 13:05:19,0.489s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:05:19,01-02-2024 13:05:20,1.128s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:05:20,01-02-2024 13:05:21,0.774s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:05:21,01-02-2024 13:05:23,1.801s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:05:23,01-02-2024 13:05:23,0.410s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_Login_02,Chrome 121.0.0.0,,,01-02-2024 13:05:23,01-02-2024 13:05:32,9.328s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:05:23,01-02-2024 13:05:24,0.866s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:05:24,01-02-2024 13:05:27,2.616s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_02_OR/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 121.0.0.0,,,01-02-2024 13:05:27,01-02-2024 13:05:27,0.460s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_02_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:05:27,01-02-2024 13:05:28,0.888s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_02_OR/Page_CURA Healthcare Service/input_username""))",Chrome 121.0.0.0,,,01-02-2024 13:05:28,01-02-2024 13:05:29,0.578s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_02_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78""))",Chrome 121.0.0.0,,,01-02-2024 13:05:29,01-02-2024 13:05:29,0.430s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Login_02_OR/Page_CURA Healthcare Service/input_username""), ""John Doe123"")",Chrome 121.0.0.0,,,01-02-2024 13:05:29,01-02-2024 13:05:30,0.934s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Login_02_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:05:30,01-02-2024 13:05:31,0.696s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_02_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:05:31,01-02-2024 13:05:32,1.409s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:05:32,01-02-2024 13:05:32,0.346s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_Login_03,Chrome 121.0.0.0,,,01-02-2024 13:05:32,01-02-2024 13:05:41,9.040s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:05:33,01-02-2024 13:05:33,0.797s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:05:33,01-02-2024 13:05:36,2.496s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_03_OR/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 121.0.0.0,,,01-02-2024 13:05:36,01-02-2024 13:05:36,0.427s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_03_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:05:36,01-02-2024 13:05:37,0.943s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_03_OR/Page_CURA Healthcare Service/input_username""))",Chrome 121.0.0.0,,,01-02-2024 13:05:37,01-02-2024 13:05:38,0.561s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_03_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78""))",Chrome 121.0.0.0,,,01-02-2024 13:05:38,01-02-2024 13:05:38,0.415s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Login_03_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:05:38,01-02-2024 13:05:39,0.843s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Login_03_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:05:39,01-02-2024 13:05:40,0.554s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_03_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:05:40,01-02-2024 13:05:41,1.446s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:05:41,01-02-2024 13:05:41,0.472s,PASSED
