Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CURA_TestSuite_Make_Appointments_01,Chrome 121.0.0.0,,,01-02-2024 13:16:56,01-02-2024 13:18:15,1m - 18.720s,FAILED
,,,,,,,
Test Cases/TC_CURA_Make_Appointments/TC_CURA_Make_Appointment_01,Chrome 121.0.0.0,,,01-02-2024 13:16:56,01-02-2024 13:17:11,14.976s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:16:57,01-02-2024 13:17:00,3.445s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:17:00,01-02-2024 13:17:03,2.597s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:17:03,01-02-2024 13:17:04,0.898s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:17:04,01-02-2024 13:17:04,0.579s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:17:04,01-02-2024 13:17:05,1.015s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:17:05,01-02-2024 13:17:06,0.791s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:17:06,01-02-2024 13:17:07,1.094s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 121.0.0.0,,,01-02-2024 13:17:07,01-02-2024 13:17:07,0.411s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/td_30""))",Chrome 121.0.0.0,,,01-02-2024 13:17:07,01-02-2024 13:17:08,0.572s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/td_9""))",Chrome 121.0.0.0,,,01-02-2024 13:17:08,01-02-2024 13:17:09,0.608s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/textarea_comment""), ""Book Appointment on the date 09/01/2024"")",Chrome 121.0.0.0,,,01-02-2024 13:17:09,01-02-2024 13:17:10,0.963s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:17:10,01-02-2024 13:17:11,1.159s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:17:11,01-02-2024 13:17:11,0.496s,PASSED
,,,,,,,
Test Cases/TC_CURA_Make_Appointments/TC_CURA_Make_Appointment_02,Chrome 121.0.0.0,,,01-02-2024 13:17:11,01-02-2024 13:17:56,44.772s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:17:11,01-02-2024 13:17:12,1.111s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:17:12,01-02-2024 13:17:15,2.509s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:17:15,01-02-2024 13:17:16,0.856s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:17:16,01-02-2024 13:17:17,1.055s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:17:17,01-02-2024 13:17:18,0.799s,PASSED
