Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CURA_TestSuite_Make_Appointments_01,Chrome 121.0.0.0,,,01-02-2024 13:20:10,01-02-2024 13:21:31,1m - 20.747s,FAILED
,,,,,,,
Test Cases/TC_CURA_Make_Appointments/TC_CURA_Make_Appointment_01,Chrome 121.0.0.0,,,01-02-2024 13:20:11,01-02-2024 13:20:28,17.120s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:20:11,01-02-2024 13:20:14,2.744s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:20:14,01-02-2024 13:20:20,5.519s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:20:20,01-02-2024 13:20:21,1.080s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:20:21,01-02-2024 13:20:21,0.421s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:20:21,01-02-2024 13:20:22,1.011s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:20:22,01-02-2024 13:20:23,0.727s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:20:23,01-02-2024 13:20:24,1.103s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 121.0.0.0,,,01-02-2024 13:20:24,01-02-2024 13:20:24,0.468s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/td_30""))",Chrome 121.0.0.0,,,01-02-2024 13:20:24,01-02-2024 13:20:25,0.621s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/td_9""))",Chrome 121.0.0.0,,,01-02-2024 13:20:25,01-02-2024 13:20:26,0.634s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/textarea_comment""), ""Book Appointment on the date 09/01/2024"")",Chrome 121.0.0.0,,,01-02-2024 13:20:26,01-02-2024 13:20:27,0.900s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:20:27,01-02-2024 13:20:27,0.760s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:20:27,01-02-2024 13:20:28,0.465s,PASSED
,,,,,,,
Test Cases/TC_CURA_Make_Appointments/TC_CURA_Make_Appointment_02,Chrome 121.0.0.0,,,01-02-2024 13:20:28,01-02-2024 13:21:12,43.699s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:20:28,01-02-2024 13:20:29,0.826s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:20:29,01-02-2024 13:20:31,2.386s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:20:31,01-02-2024 13:20:32,0.824s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:20:32,01-02-2024 13:20:33,0.973s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:20:33,01-02-2024 13:20:34,0.647s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:20:34,01-02-2024 13:20:35,1.527s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/div_input-group-addon""))",Chrome 121.0.0.0,,,01-02-2024 13:20:35,01-02-2024 13:20:36,0.579s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/td_30""))",Chrome 121.0.0.0,,,01-02-2024 13:20:36,01-02-2024 13:20:36,0.572s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/td_9""))",Chrome 121.0.0.0,,,01-02-2024 13:20:36,01-02-2024 13:20:37,0.538s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/textarea_comment""), ""Book Appointment on the date 09/01/2024"")",Chrome 121.0.0.0,,,01-02-2024 13:20:37,01-02-2024 13:20:38,0.961s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:20:38,01-02-2024 13:20:39,0.809s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 121.0.0.0,,,01-02-2024 13:20:39,01-02-2024 13:20:39,0.863s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/a_Make Appointment_1""))",Chrome 121.0.0.0,,,01-02-2024 13:20:39,01-02-2024 13:20:40,0.430s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/div_input-group-addon""))",Chrome 121.0.0.0,,,01-02-2024 13:20:40,01-02-2024 13:20:40,0.427s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/td_30""))",Chrome 121.0.0.0,,,01-02-2024 13:20:40,01-02-2024 13:21:12,31.181s,FAILED
,,,,,,,
Test Cases/TC_CURA_Make_Appointments/TC_CURA_Make_Appointment_03,Chrome 121.0.0.0,,,01-02-2024 13:21:12,01-02-2024 13:21:22,10.922s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:21:12,01-02-2024 13:21:13,1.190s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:21:13,01-02-2024 13:21:15,2.570s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_03_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:21:15,01-02-2024 13:21:16,0.784s,PASSED
