Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CURA_TestSuite_Make_Appointments_01,Chrome 121.0.0.0,,,01-02-2024 13:07:45,01-02-2024 13:08:35,49.876s,PASSED
,,,,,,,
Test Cases/TC_CURA_Make_Appointments/TC_CURA_Make_Appointment_01,Chrome 121.0.0.0,,,01-02-2024 13:07:46,01-02-2024 13:08:00,14.365s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:07:46,01-02-2024 13:07:49,2.913s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:07:49,01-02-2024 13:07:52,2.492s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:07:52,01-02-2024 13:07:53,0.841s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:07:53,01-02-2024 13:07:53,0.530s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:07:53,01-02-2024 13:07:54,1.020s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:07:54,01-02-2024 13:07:55,0.875s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:07:55,01-02-2024 13:07:57,1.549s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_01_OR/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 121.0.0.0,,,01-02-2024 13:07:57,01-02-2024 13:07:57,0.496s,PASSED
